mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__max_features,param_rf__n_estimators,param_selectkbest__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
42.76351637840271,8.650986151380152,4.258676910400391,3.1939108794630386,,sqrt,200,5000,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'selectkbest__k': 5000}",0.5263157894736842,0.5085441912684239,0.5214743474491284,0.5302462772736898,0.5085441393917596,0.5190249489713371,0.00899741927969783,37
66.11506776809692,6.827616788162345,8.32059965133667,3.0571624480965416,,sqrt,200,10000,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'selectkbest__k': 10000}",0.5263157894736842,0.5085441912684239,0.5214743474491284,0.5302462772736898,0.5085441393917596,0.5190249489713371,0.00899741927969783,37
63.838846111297606,9.737928226606634,8.634072399139404,4.4890493150444035,,sqrt,200,20000,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'selectkbest__k': 20000}",0.5263157894736842,0.5085441912684239,0.5214743474491284,0.5302462772736898,0.5085441393917596,0.5190249489713371,0.00899741927969783,37
115.81054039001465,14.559090975442626,10.007658243179321,1.3283514987305618,,sqrt,400,5000,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__n_estimators': 400, 'selectkbest__k': 5000}",0.5219298245614035,0.5041582263561432,0.5214743474491284,0.5302462772736898,0.5129301043040403,0.5181477559888811,0.008884540496381287,40
114.21271286010742,3.9078384462756546,12.740274953842164,1.3090425657409488,,sqrt,400,10000,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__n_estimators': 400, 'selectkbest__k': 10000}",0.5219298245614035,0.5041582263561432,0.5214743474491284,0.5302462772736898,0.5129301043040403,0.5181477559888811,0.008884540496381287,40
113.96508264541626,1.925293404857022,11.247937488555909,2.4997022302905694,,sqrt,400,20000,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__n_estimators': 400, 'selectkbest__k': 20000}",0.5219298245614035,0.5041582263561432,0.5214743474491284,0.5302462772736898,0.5129301043040403,0.5181477559888811,0.008884540496381287,40
152.5850895881653,10.609392400319095,11.337131643295288,0.9423557149916457,,0.2,200,5000,"{'rf__max_depth': None, 'rf__max_features': 0.2, 'rf__n_estimators': 200, 'selectkbest__k': 5000}",0.6119854407140602,0.6024164259430174,0.6123270485482666,0.6414346330412686,0.6075990089118011,0.6151525114316828,0.01362370557249014,10
152.67989792823792,3.66958287457833,15.19318675994873,7.423950032723771,,0.2,200,10000,"{'rf__max_depth': None, 'rf__max_features': 0.2, 'rf__n_estimators': 200, 'selectkbest__k': 10000}",0.6119854407140602,0.6024164259430174,0.6123270485482666,0.6414346330412686,0.6075990089118011,0.6151525114316828,0.01362370557249014,10
160.64067873954772,4.8934848275438645,11.788345670700073,2.176937894971337,,0.2,200,20000,"{'rf__max_depth': None, 'rf__max_features': 0.2, 'rf__n_estimators': 200, 'selectkbest__k': 20000}",0.6119854407140602,0.6024164259430174,0.6123270485482666,0.6414346330412686,0.6075990089118011,0.6151525114316828,0.01362370557249014,10
249.7934893131256,8.464911846972154,15.351249170303344,2.1219017966562044,,0.2,400,5000,"{'rf__max_depth': None, 'rf__max_features': 0.2, 'rf__n_estimators': 400, 'selectkbest__k': 5000}",0.6424594565438877,0.6070301294114356,0.6079410836359859,0.6458205979535493,0.6073712184789993,0.6221244972047717,0.018009353984659002,7
245.3480012893677,2.9733405841395006,15.061276578903199,2.6672107365152753,,0.2,400,10000,"{'rf__max_depth': None, 'rf__max_features': 0.2, 'rf__n_estimators': 400, 'selectkbest__k': 10000}",0.6424594565438877,0.6070301294114356,0.6079410836359859,0.6458205979535493,0.6073712184789993,0.6221244972047717,0.018009353984659002,7
254.43400926589965,8.34110689813283,15.583033466339112,2.743447676359313,,0.2,400,20000,"{'rf__max_depth': None, 'rf__max_features': 0.2, 'rf__n_estimators': 400, 'selectkbest__k': 20000}",0.6424594565438877,0.6070301294114356,0.6079410836359859,0.6458205979535493,0.6073712184789993,0.6221244972047717,0.018009353984659002,7
285.09053173065183,7.227600031490331,19.952058792114258,12.38038997799536,,0.5,200,5000,"{'rf__max_depth': None, 'rf__max_features': 0.5, 'rf__n_estimators': 200, 'selectkbest__k': 5000}",0.6640476732710848,0.6330043110509136,0.6297570389193207,0.6584091463000475,0.6023018822683132,0.6375040103619359,0.022185776668701907,4
281.36979508399963,3.315205235054152,12.134632396697999,3.4461179741666372,,0.5,200,10000,"{'rf__max_depth': None, 'rf__max_features': 0.5, 'rf__n_estimators': 200, 'selectkbest__k': 10000}",0.6640476732710848,0.6330043110509136,0.6297570389193207,0.6584091463000475,0.6023018822683132,0.6375040103619359,0.022185776668701907,4
286.47225017547606,5.284245619479468,10.797245645523072,0.3411091998289137,,0.5,200,20000,"{'rf__max_depth': None, 'rf__max_features': 0.5, 'rf__n_estimators': 200, 'selectkbest__k': 20000}",0.6640476732710848,0.6330043110509136,0.6297570389193207,0.6584091463000475,0.6023018822683132,0.6375040103619359,0.022185776668701907,4
509.1211679458618,8.371399503248952,11.065850114822387,1.3522563719596579,,0.5,400,5000,"{'rf__max_depth': None, 'rf__max_features': 0.5, 'rf__n_estimators': 400, 'selectkbest__k': 5000}",0.6642754118272224,0.6283906075824953,0.6341430038316014,0.6627951112123283,0.6024157774847141,0.6384039823876723,0.023142309875931296,1
