modelo,GS_best_cv_score,ROC_AUC,PR_AUC,F1_No@0.5,BalAcc@0.5,F1_No@opt,BalAcc@opt,thr_opt,avg_expected_cost@opt
linsvm,0.7429402737684474,0.9142102157572026,0.9972542267940346,0.1559202813599062,0.8379819903024706,0.44881889763779526,0.6956951178839887,0.2143168203491946,7.43384073088234
rand_forest,0.6384039823876723,0.7801514918289336,0.988947923296291,0.4,0.6486762102670669,0.4364820846905538,0.7269901741963621,0.83,4.154044888054654
reg_log,0.8159277443799755,0.9043215577618717,0.9970680633138684,0.18581907090464547,0.8129749352215296,0.36893203883495146,0.690686010415865,0.2096485174312669,5.997178872332492
svm,0.7337016511878077,0.9113253290233203,0.996383388606443,0.013986013986013986,0.5035211267605634,0.343042071197411,0.676237204648657,0.8020454205776264,4.226026375372904
